image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1,method_annotation_missing,mask_resized
set_15_12_obj1,0.06884573909196483,0.018045263507161423,0.050800475584803405,-0.050800475584803405,0.2149623042721825,0.35385839299920446,0.851944072016855,0.22330438275013806,0.35385839299920446,0,0
set_15_12_obj0,0.042722963864851936,0.0032803191720659217,0.039442644692786015,-0.039442644692786015,0.02625197041348369,0.051160867253500324,0.3587406793703397,0.027544529262086514,0.051160867253500324,0,0
set_15_11_obj3,0.021390174197060425,0.0042562602068590095,0.017133913990201415,-0.017133913990201415,0.18503379971702563,0.31228442557707614,0.9408473221422862,0.18721170669635756,0.31228442557707614,0,0
set_15_11_obj2,0.05320086393088553,0.04888120950323974,0.004319654427645786,-0.004319654427645786,0.32184808144087707,0.48696682464454977,0.5084835630965006,0.4671971419291978,0.48696682464454977,0,0
set_15_9_obj2,0.02679517753047165,0.014923536982360512,0.011871640548111137,-0.011871640548111137,0.32268226822682267,0.4879210615855733,0.681991122384274,0.37983401024192126,0.4879210615855733,0,0
set_15_9_obj1,0.021447025069131605,0.011658249704649019,0.009788775364482586,-0.009788775364482586,0.3665594855305466,0.5364705882352941,0.7616926503340757,0.41404358353510895,0.5364705882352941,0,0
set_15_9_obj0,0.03149807645334636,0.003286058866634099,0.02821201758671226,-0.02821201758671226,0.10352342898656011,0.18762343647136273,0.9930313588850174,0.10359869138495092,0.18762343647136273,0,0
set_15_6_obj3,0.03958082059846165,0.02977507985526647,0.00980574074319518,-0.00980574074319518,0.7313885518914746,0.8448577889607287,0.9839750723347429,0.7402053800647393,0.8448577889607287,0,0
set_15_6_obj2,0.02526910593784295,0.029768603918089057,0.004499497980246108,0.004499497980246108,0.5168929789561748,0.681515421492512,0.6300101968781865,0.7421918314544447,0.681515421492512,0,0
set_15_6_obj1,0.010852494962664454,0.012017378807633044,0.0011648838449685901,0.0011648838449685901,0.708967616938832,0.829702809944125,0.7894899059947603,0.8742320819112628,0.829702809944125,0,0
set_15_6_obj0,0.032633148913478204,0.032379016131182506,0.00025413278229569763,-0.00025413278229569763,0.6963800413088379,0.8210189041973727,0.8242408646423057,0.8178220349802119,0.8210189041973727,0,0
set_12_78_obj1,0.04686061570024802,0.06685687143075963,0.019996255730511614,0.019996255730511614,0.6790332160643304,0.8088383357370269,0.6878804008238643,0.9814111665070823,0.8088383357370269,0,0
set_12_78_obj0,0.008716933399329043,0.006384168362389778,0.0023327650369392655,-0.0023327650369392655,0.6627417998317914,0.7971674253920081,0.9428092845178272,0.6905012267788293,0.7971674253920081,0,0
set_12_77_obj3,0.022271887355348866,0.02093505796368366,0.001336829391665205,-0.001336829391665205,0.7637081906768501,0.8660255644486919,0.8936760355029586,0.840034762456547,0.8660255644486919,0,0
set_12_74_obj2,0.007237850849116733,0.011156106686059776,0.0039182558369430425,0.0039182558369430425,0.5967354776764282,0.7474443776307877,0.6161854009170901,0.9497612225405921,0.7474443776307877,0,0
set_12_74_obj1,0.011842662608641084,0.007226397038059678,0.004616265570581406,-0.004616265570581406,0.5651054241107355,0.7221308103661045,0.9527815468113976,0.5813876469614174,0.7221308103661045,0,0
set_12_74_obj0,0.04803123904396919,0.03809777111516778,0.009933467928801412,-0.009933467928801412,0.7790078242050941,0.8757778505591166,0.9899513433467315,0.7852168806107895,0.8757778505591166,0,0
set_12_68_obj1,0.0017230805395118114,0.0006848623569813016,0.0010382181825305098,-0.0010382181825305098,0.39016963897346674,0.5613266583229036,0.9867986798679867,0.39221687800612154,0.5613266583229036,0,0
set_12_66_obj2,0.0,0.006506801805792106,0.006506801805792106,0.006506801805792106,0.0,0.0,0.0,0.0,0.0,0,0
set_12_66_obj1,0.0,0.007355111539989782,0.007355111539989782,0.007355111539989782,0.0,0.0,0.0,0.0,0.0,0,0
